created_at,tweet_id,retweet_count,favorite_count,rating_numerator,rating_denominator,name,timestamp,dog_stage,img_num,dog_breed,p1_dog
4,845306882940190720,6039,25225,12,10,Pickles,2017-03-24,pupper,1,Irish Water Spaniel,True
3,837110210464448512,2731,17480,13,10,Clark,2017-03-02,pupper,1,Siberian Husky,True
2,836753516572119041,5237,21029,12,10,Meera,2017-03-01,doggo,1,Mortarboard,False
1,836380477523124226,3337,16037,12,10,Ava,2017-02-28,pupper,1,Wooden Spoon,False
6,833124694597443584,5513,22133,12,10,Gidget,2017-02-19,pupper,3,Cardigan,True
5,832998151111966721,2522,14549,13,10,Rhino,2017-02-18,doggo,1,Boxer,True
3,832273440279240704,2673,12385,14,10,Smiley,2017-02-16,doggo,1,Pembroke,True
3,832032802820481025,4746,13887,12,10,Miguel,2017-02-16,doggo,1,Whippet,True
2,831939777352105988,7031,26404,12,10,Emanuel,2017-02-15,doggo,1,Pomeranian,True
1,831322785565769729,1744,10042,12,10,Pete,2017-02-14,doggo,1,Old English Sheepdog,True
4,829878982036299777,5757,0,12,10,Loki,2017-02-10,doggo,1,Golden Retriever,True
2,829374341691346946,10706,38074,13,10,Astrid,2017-02-08,doggo,1,Staffordshire Bullterrier,True
6,828381636999917570,2554,13864,14,10,Doobert,2017-02-05,doggo,1,Bedlington Terrier,True
5,827933404142436356,5987,22180,12,10,Kona,2017-02-04,pupper,2,German Shepherd,True
3,826958653328592898,5757,23767,12,10,Loki,2017-02-02,doggo,1,Golden Retriever,True
2,826848821049180160,11878,40325,13,10,Cupid,2017-02-01,doggo,4,Great Pyrenees,True
1,826476773533745153,4821,20275,12,10,Pilot,2017-01-31,doggo,1,German Shepherd,True
4,825026590719483904,1483,7020,12,10,Pablo,2017-01-27,puppo,2,Eskimo Dog,True
4,822462944365645825,17209,31800,14,10,Gabe,2017-01-20,pupper,3,Pomeranian,True
2,821765923262631936,1899,9317,13,10,Duchess,2017-01-18,doggo,1,Golden Retriever,True
1,821407182352777218,5053,13075,14,10,Sundance,2017-01-17,doggo,1,Irish Setter,True
4,819952236453363712,1369,5927,13,10,Oliver,2017-01-13,puppo,1,American Staffordshire Terrier,True
2,819015337530290176,42228,0,14,10,Bo,2017-01-11,doggo,1,Standard Poodle,True
2,819015331746349057,21794,0,14,10,Sunny,2017-01-11,doggo,4,Prison,False
2,819006400881917954,21794,49960,14,10,Sunny,2017-01-11,doggo,4,Prison,False
2,819004803107983360,42228,95450,14,10,Bo,2017-01-11,doggo,1,Standard Poodle,True
0,818588835076603904,7126,0,11,10,Chelsea,2017-01-09,pupper,1,Norwegian Elkhound,True
5,817777686764523521,3084,11901,13,10,Dido,2017-01-07,doggo,1,Curly-Coated Retriever,True
5,817777686764523521,3084,11901,13,10,Dido,2017-01-07,pupper,1,Curly-Coated Retriever,True
3,816829038950027264,5496,0,12,10,Betty,2017-01-05,puppo,1,Dishwasher,False
5,814986499976527872,1505,8485,11,10,Cooper,2016-12-31,pupper,1,Dalmatian,True
2,813910438903693312,2194,10342,11,10,Chubbs,2016-12-28,doggo,1,Siberian Husky,True
6,813096984823349248,4207,11694,11,10,Rocky,2016-12-25,doggo,1,Great Dane,True
2,811386762094317568,7444,23302,11,10,Craig,2016-12-21,pupper,1,Pembroke,True
5,807621403335917568,4288,16236,14,10,Ollie,2016-12-10,pupper,3,Golden Retriever,True
2,803773340896923648,3220,11203,12,10,Diogi,2016-11-30,puppo,2,Miniature Pinscher,True
4,802239329049477120,3040,10132,12,10,Loki,2016-11-25,puppo,2,Eskimo Dog,True
1,801115127852503040,2429,8992,12,10,Bones,2016-11-22,doggo,1,Dalmatian,True
1,801115127852503040,2429,8992,12,10,Bones,2016-11-22,pupper,1,Dalmatian,True
6,800443802682937345,5068,0,11,10,Sampson,2016-11-20,pupper,1,Mousetrap,False
6,800388270626521089,3265,12456,12,10,Doc,2016-11-20,floofer,2,Golden Retriever,True
4,799757965289017345,2506,9390,13,10,Sobe,2016-11-18,doggo,1,Border Collie,True
3,794205286408003585,3895,10314,14,10,Laika,2016-11-03,pupper,3,Pedestal,False
0,793195938047070209,6547,17063,12,10,Lily,2016-10-31,puppo,2,Labrador Retriever,True
1,790946055508652032,5496,18601,12,10,Betty,2016-10-25,puppo,1,Dishwasher,False
6,787717603741622272,3240,11416,13,10,Tonks,2016-10-16,puppo,3,German Shepherd,True
3,786363235746385920,4072,12189,13,10,Rizzo,2016-10-13,doggo,1,Golden Retriever,True
1,785639753186217984,2561,8735,10,10,Pinot,2016-10-11,doggo,1,Porcupine,False
1,785639753186217984,2561,8735,10,10,Pinot,2016-10-11,pupper,1,Porcupine,False
0,782747134529531904,1604,8310,11,10,Deacon,2016-10-03,doggo,1,Golden Retriever,True
5,782305867769217024,6470,18630,12,10,Sampson,2016-10-01,doggo,1,Briard,True
1,778027034220126208,1885,7320,5,10,Sophie,2016-09-20,pupper,1,Clumber,True
3,776477788987613185,3249,9858,11,10,Huck,2016-09-15,pupper,1,Labrador Retriever,True
2,776113305656188928,5068,13102,11,10,Sampson,2016-09-14,pupper,1,Mousetrap,False
1,775733305207554048,4627,15413,11,10,Anakin,2016-09-13,doggo,1,Long-Horned Beetle,False
0,775364825476165632,3472,8295,11,10,Finley,2016-09-12,doggo,3,Beagle,True
3,773985732834758656,4492,11925,11,10,Winnie,2016-09-08,pupper,4,Giant Panda,False
2,773547596996571136,7126,24553,11,10,Chelsea,2016-09-07,pupper,1,Norwegian Elkhound,True
5,772193107915964416,1612,6665,12,10,Willem,2016-09-03,pupper,1,Pembroke,True
0,770093767776997377,3520,0,12,10,just,2016-08-29,doggo,1,Golden Retriever,True
0,770093767776997377,3520,0,12,10,just,2016-08-29,pupper,1,Golden Retriever,True
1,768193404517830656,4080,12157,8,10,Gerald,2016-08-23,doggo,1,Lion,False
1,765371061932261376,2475,7842,11,10,Louie,2016-08-16,pupper,2,Golden Retriever,True
2,760893934457552897,1104,4228,11,10,Wishes,2016-08-03,doggo,1,Blenheim Spaniel,True
6,759793422261743616,2173,6620,12,10,Maggie,2016-07-31,doggo,2,Golden Retriever,True
6,759793422261743616,2173,6620,12,10,Maggie,2016-07-31,pupper,2,Golden Retriever,True
5,756939218950160384,2295,7342,12,10,Jax,2016-07-23,pupper,1,Golden Retriever,True
1,755206590534418437,6148,18212,14,10,one,2016-07-19,doggo,1,Web Site,False
3,751132876104687617,1480,5610,10,10,Cooper,2016-07-07,puppo,1,Labrador Retriever,True
3,750868782890057730,1595,5306,11,10,Milo,2016-07-07,pupper,4,Toy Poodle,True
2,750506206503038976,1316,4934,8,10,Malcolm,2016-07-06,pupper,1,American Black Bear,False
1,750383411068534784,1309,5005,9,10,Zoe,2016-07-05,pupper,1,Border Collie,True
0,750011400160841729,1035,3568,11,10,Piper,2016-07-04,doggo,1,Muzzle,False
6,749417653287129088,1904,6721,11,10,Finn,2016-07-03,pupper,2,Papillon,True
5,749317047558017024,2509,6076,12,10,Blu,2016-07-02,floofer,1,Wire-Haired Fox Terrier,True
4,748932637671223296,2564,6461,13,10,Divine,2016-07-01,doggo,1,Borzoi,True
4,748692773788876800,1504,4659,10,10,his,2016-07-01,doggo,1,Ox,False
2,745433870967832576,2894,7824,10,10,Lenox,2016-06-22,doggo,1,Barrow,False
0,744995568523612160,716,3277,9,10,Abby,2016-06-20,puppo,1,Old English Sheepdog,True
3,743253157753532416,1366,4624,10,10,Kilo,2016-06-16,puppo,1,Malamute,True
2,743222593470234624,2164,6792,12,10,a,2016-06-15,pupper,1,Kuvasz,True
0,742150209887731712,1783,5661,8,10,Edmund,2016-06-13,pupper,1,Siamese Cat,False
5,741743634094141440,3144,8945,11,10,Aqua,2016-06-11,pupper,1,Labrador Retriever,True
4,741067306818797568,3520,10342,12,10,just,2016-06-10,doggo,1,Golden Retriever,True
4,741067306818797568,3520,10342,12,10,just,2016-06-10,pupper,1,Golden Retriever,True
2,740676976021798912,7724,19881,11,10,Baloo,2016-06-08,pupper,1,Wombat,False
6,739606147276148736,1876,5897,9,10,Benji,2016-06-05,pupper,3,Blenheim Spaniel,True
4,738537504001953792,1759,5575,11,10,Bayley,2016-06-03,puppo,1,Chow,True
5,736365877722001409,1408,4367,11,10,Rory,2016-05-28,pupper,3,Cup,False
1,735256018284875776,993,3675,8,10,Kellogg,2016-05-24,doggo,1,Staffordshire Bullterrier,True
1,735137028879360001,1092,3428,9,10,Buckley,2016-05-24,pupper,1,Walker Hound,True
5,733822306246479872,1141,4015,10,10,Moose,2016-05-21,floofer,1,Lhasa,True
1,732375214819057664,2838,8832,11,10,Kyle,2016-05-17,doggo,1,Tennis Ball,False
3,730573383004487680,2435,5407,10,10,Rooney,2016-05-12,pupper,2,American Staffordshire Terrier,True
3,728035342121635841,1872,4953,12,10,all,2016-05-05,pupper,1,Handkerchief,False
3,728015554473250816,1219,4479,11,10,Rueben,2016-05-05,pupper,1,Cocker Spaniel,True
3,725786712245440512,1527,4537,11,10,Lillie,2016-04-28,pupper,1,Chow,True
0,724405726123311104,1847,5800,10,10,Ashleigh,2016-04-25,pupper,1,Golden Retriever,True
5,724004602748780546,1790,4561,11,10,Luther,2016-04-23,pupper,3,Siamese Cat,False
4,721001180231503872,686,2748,11,10,Oliver,2016-04-15,pupper,1,Samoyed,True
2,720340705894408192,1098,3131,10,10,Derek,2016-04-13,pupper,1,Alp,False
1,719704490224398336,1645,4974,12,10,Clyde,2016-04-12,pupper,1,Home Theater,False
0,717009362452090881,1102,3583,10,10,Smokey,2016-04-04,pupper,1,Siberian Husky,True
0,711968124745228288,2601,8776,10,10,Winston,2016-03-21,pupper,1,Espresso,False
5,711008018775851008,710,3275,11,10,Chuckles,2016-03-19,pupper,1,French Bulldog,True
1,707315916783140866,727,2698,10,10,Finnegus,2016-03-08,pupper,2,Bernese Mountain Dog,True
5,705975130514706432,842,3397,10,10,Adele,2016-03-05,pupper,1,Staffordshire Bullterrier,True
3,705428427625635840,1931,4188,11,10,Ambrose,2016-03-03,pupper,1,Chihuahua,True
2,704859558691414016,612,2462,10,10,a,2016-03-02,pupper,1,Pug,True
0,704347321748819968,393,1729,10,10,Ralphson,2016-02-29,pupper,1,Teddy,False
5,703611486317502464,1709,4229,10,10,Scooter,2016-02-27,pupper,1,Pembroke,True
2,702598099714314240,3712,11332,11,10,Sansa,2016-02-24,pupper,1,Kelpie,True
6,701545186879471618,680,2902,10,10,Millie,2016-02-21,pupper,1,Border Collie,True
5,700864154249383937,685,2828,12,10,a,2016-02-20,pupper,1,Kuvasz,True
2,699801817392291840,1088,3345,11,10,Cooper,2016-02-17,pupper,2,Golden Retriever,True
1,696877980375769088,802,2689,9,10,Misty,2016-02-09,pupper,1,Space Heater,False
0,696713835009417216,757,2613,9,10,Trevith,2016-02-08,pupper,1,Car Mirror,False
3,695095422348574720,684,2888,12,10,just,2016-02-04,pupper,1,Papillon,True
3,695074328191332352,1239,3116,11,10,Lorenzo,2016-02-04,pupper,1,Shih-Tzu,True
1,694329668942569472,569,2203,9,10,Grady,2016-02-02,pupper,1,Boxer,True
6,693590843962331137,2233,5565,3,10,Phil,2016-01-31,pupper,1,Dining Table,False
4,693095443459342336,523,2056,10,10,Milo,2016-01-29,pupper,1,Ice Lolly,False
4,692905862751522816,998,2683,10,10,Wally,2016-01-29,pupper,1,Mexican Hairless,True
2,692417313023332352,3917,10275,7,10,Herschel,2016-01-27,pupper,1,Bison,False
2,689905486972461056,787,2651,11,10,Gizmo,2016-01-20,pupper,4,Pomeranian,True
2,689623661272240129,748,2467,10,10,Lucy,2016-01-20,pupper,1,Toy Poodle,True
0,689143371370250240,579,2232,10,10,Trip,2016-01-18,pupper,1,English Springer,True
0,688894073864884227,792,2462,7,10,Hamrick,2016-01-18,pupper,1,Hog,False
5,688179443353796608,669,2328,10,10,Lizzie,2016-01-16,pupper,1,Sorrel,False
3,687704180304273409,950,2660,9,10,Blakely,2016-01-14,pupper,1,Miniature Pinscher,True
3,687476254459715584,619,2187,11,10,Curtis,2016-01-14,pupper,1,Wood Rabbit,False
0,686683045143953408,912,3072,11,10,Mona,2016-01-11,pupper,1,Norwich Terrier,True
0,686618349602762752,1544,4042,11,10,Olivia,2016-01-11,pupper,1,Rottweiler,True
0,686377065986265092,637,2433,10,10,Birf,2016-01-11,pupper,1,German Shepherd,True
5,685943807276412928,696,1801,8,10,the,2016-01-09,pupper,1,Papillon,True
5,685667379192414208,666,2579,9,10,Marty,2016-01-09,pupper,1,Sliding Door,False
5,685641971164143616,885,3218,7,10,Otis,2016-01-09,pupper,1,Lakeland Terrier,True
4,685307451701334016,496,2262,11,10,Petrick,2016-01-08,floofer,1,Pomeranian,True
4,685268753634967552,1371,3419,10,10,Hubertson,2016-01-08,pupper,1,Pug,True
3,685169283572338688,1620,4489,11,10,Gerbald,2016-01-07,pupper,1,Bernese Mountain Dog,True
6,683481228088049664,1118,2878,11,10,Banjo,2016-01-03,pupper,1,Keeshond,True
5,683142553609318400,1173,3162,9,10,Brandy,2016-01-02,pupper,1,Leonberg,True
5,683111407806746624,1034,3736,10,10,Larry,2016-01-02,pupper,1,Cocker Spaniel,True
3,682406705142087680,2019,8319,7,10,Patrick,2015-12-31,pupper,1,Wombat,False
1,681891461017812993,951,2706,10,10,Charlie,2015-12-29,pupper,1,Chihuahua,True
1,681694085539872773,4581,14010,11,10,Bo,2015-12-29,pupper,1,Toy Poodle,True
1,681654059175129088,1045,2903,12,10,Toffee,2015-12-29,pupper,1,Pomeranian,True
5,680836378243002368,1513,3766,12,10,Ellie,2015-12-26,pupper,3,Pembroke,True
4,680473011644985345,844,2778,10,10,Hector,2015-12-25,pupper,1,Lakeland Terrier,True
3,680145970311643136,1972,3955,10,10,Kawhi,2015-12-24,pupper,1,Miniature Poodle,True
2,679777920601223168,1281,3390,10,10,Rinna,2015-12-23,pupper,1,Bloodhound,True
2,679503373272485890,1673,3484,8,10,Dwight,2015-12-23,pupper,1,Porcupine,False
6,678389028614488064,473,2044,11,10,Bella,2015-12-20,pupper,1,Miniature Pinscher,True
2,677269281705472000,790,2164,10,10,the,2015-12-16,pupper,1,Shetland Sheepdog,True
1,676603393314578432,440,1280,9,10,Godzilla,2015-12-15,pupper,1,Whippet,True
6,675845657354215424,1000,2477,10,10,Pepper,2015-12-13,pupper,1,Pug,True
4,675113801096802304,877,2120,10,10,Zuzu,2015-12-11,pupper,1,Bow,False
3,675006312288268288,252,1057,10,10,Mollie,2015-12-10,pupper,1,Boxer,True
3,674774481756377088,532,1213,11,10,Superpup,2015-12-10,pupper,1,Chihuahua,True
2,674737130913071104,103,693,10,10,Rufio,2015-12-09,pupper,1,Pomeranian,True
1,674318007229923329,570,1516,8,10,Lennon,2015-12-08,pupper,1,Porcupine,False
1,674262580978937856,498,1391,9,10,Gus,2015-12-08,pupper,1,Greater Swiss Mountain Dog,True
1,674038233588723717,456,1176,12,10,Kaiya,2015-12-08,pupper,1,Eskimo Dog,True
0,673956914389192708,1069,2091,10,10,one,2015-12-07,pupper,1,Pug,True
0,673919437611909120,401,1251,11,10,Obie,2015-12-07,pupper,1,Jack-O'-Lantern,False
0,673707060090052608,434,1177,10,10,Raymond,2015-12-07,pupper,1,German Short-Haired Pointer,True
0,673697980713705472,2165,4067,8,10,Pickles,2015-12-07,pupper,1,Porcupine,False
0,673656262056419329,265,769,10,10,Albert,2015-12-07,pupper,1,Bull Mastiff,True
6,673612854080196609,802,1691,7,10,Jeffri,2015-12-06,pupper,1,Newfoundland,True
6,673342308415348736,649,1362,10,10,Django,2015-12-06,pupper,1,Ski Mask,False
6,673295268553605120,3484,8046,8,10,Eve,2015-12-06,pupper,1,Golden Retriever,True
5,673148804208660480,688,1822,8,10,Fletcher,2015-12-05,pupper,1,Tub,False
5,672988786805112832,314,1039,10,10,Schnozz,2015-12-05,pupper,1,Lakeland Terrier,True
5,672975131468300288,1015,1813,10,10,Chuckles,2015-12-05,pupper,1,Pug,True
5,672970152493887488,391,1019,7,10,Chet,2015-12-05,pupper,1,Leaf Beetle,False
4,672898206762672129,459,944,11,10,Cheryl,2015-12-04,pupper,1,Motor Scooter,False
4,672614745925664768,644,1302,6,10,Norman,2015-12-04,pupper,1,Starfish,False
4,672594978741354496,661,1411,9,10,Scott,2015-12-04,pupper,1,Great Pyrenees,True
3,672481316919734272,137,757,12,10,Jazz,2015-12-03,pupper,1,Border Collie,True
3,672254177670729728,800,1515,11,10,Rolf,2015-12-03,pupper,1,Pug,True
3,672205392827572224,1270,2414,9,10,Opal,2015-12-03,pupper,1,Carton,False
2,672160042234327040,395,918,8,10,Bubba,2015-12-02,pupper,1,Pug,True
